H - 72	- 01001000
e - 101	- 01100101
l - 108	- 01101100
l - 108	- 01101100
o - 111	- 01101111
  - 32	- 00100000
g - 103	- 01100111
u - 117	- 01110101
y - 121	- 01111001
s - 115	- 01110011
  - 32	- 00100000
f - 102	- 01100110
r - 114	- 01110010
o - 111	- 01101111
m - 109	- 01101101
  - 32	- 00100000
t - 116	- 01110100
h - 104	- 01101000
e - 101	- 01100101
  - 32	- 00100000
m - 109	- 01101101
o - 111	- 01101111
s - 115	- 01110011
t - 116	- 01110100
  - 32	- 00100000
p - 112	- 01110000
o - 111	- 01101111
p - 112	- 01110000
u - 117	- 01110101
l - 108	- 01101100
a - 97	- 01100001
r - 114	- 01110010
  - 32	- 00100000
p - 112	- 01110000
r - 114	- 01110010
o - 111	- 01101111
g - 103	- 01100111
r - 114	- 01110010
a - 97	- 01100001
m - 109	- 01101101
m - 109	- 01101101
i - 105	- 01101001
n - 110	- 01101110
g - 103	- 01100111
  - 32	- 00100000
c - 99	- 01100011
o - 111	- 01101111
u - 117	- 01110101
r - 114	- 01110010
s - 115	- 01110011
e - 101	- 01100101
  - 32	- 00100000
- - 45	- 00101101
  - 32	- 00100000
C - 67	- 01000011
# - 35	- 00100011
! - 33	- 00100001
